username,password,roles,preferred
bookstore-user,password,application-user,/bookstore
blazerstore-user,password,application-user,/blazerstore
wms-user,password,application-user,/
agile-user,password,application-user,/agile
school-user,password,application-user,
MC3021,password,application-user,
MC3026,password,application-user,
PC1035,password,application-user,
PC8888,password,application-user,
PC9999,password,application-user,
PS1372,password,application-user,
PS2091,password,application-user,
PS2106,password,application-user,
PS3333,password,application-user,
PS7777,password,application-user,
TC3218,password,application-user,
TC4203,password,application-user,
TC7777,password,application-user,
zhixian,password,application-user;application-administrator,/blazerstore
